S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
143,Oriental Hotels Limited,41,500.00,480.50,485.00,6449.00,3186543.50,500.00,-15.00
144,Panchakanya Mai Hydropower Ltd,50,299.00,281.00,289.90,7031.00,1987280.80,297.80,-7.90
145,Panchthar Power Compant Limited,21,403.90,385.00,386.00,3480.00,1361608.10,406.70,-20.70
146,Pokhara Finance Ltd.,110,599.00,553.70,565.00,6963.00,3958238.00,590.00,-25.00
147,Prabhu  Bank Limited,426,408.00,386.00,388.00,55352.00,21556691.70,400.00,-12.00
148,Prabhu Insurance Ltd.,44,766.10,739.00,747.00,6201.00,4660350.50,780.00,-33.00
149,Prabhu Life Insurance Limited,163,609.00,574.30,593.90,8032.00,4726814.00,605.00,-11.10
150,Prabhu Select Fund,19,9.53,9.40,9.53,14200.00,134357.00,9.72,-0.19
151,Premier Insurance Co. Ltd.,133,1015.00,983.30,983.30,9135.00,9042856.90,1030.00,-46.70
152,Prime Commercial Bank Ltd.,559,482.00,463.00,467.00,67527.00,31629422.50,479.00,-12.00
153,Prime Life Insurance Company Limited,109,835.00,813.00,824.00,13218.00,10835044.70,838.00,-14.00
154,ProgressiveFinance Limited,157,399.00,375.00,378.00,17090.00,6525092.00,402.00,-24.00
155,Prudential Insurance Co. Ltd.,94,682.00,643.00,645.00,9865.00,6454160.50,695.00,-50.00
156,Radhi Bidyut Company Ltd,247,567.00,535.00,543.30,21624.00,11782585.60,565.00,-21.70
157,Rairang Hydropower Development Company Ltd.,247,500.00,463.70,475.00,67374.00,31927012.90,507.00,-32.00
158,Rastriya Beema Company Limited,13,17400.00,17055.00,17136.00,160.00,2751240.00,17640.00,-504.00
159,Rastriya Beema Company Limited Promoter Share,11,13310.00,13100.00,13136.00,360.00,4749970.00,13492.00,-356.00
160,RASUWAGADHI HYDROPOWER COMPANY LIMITED,216,344.00,329.00,340.00,32090.00,10828822.00,347.00,-7.00
161,RBB Mutual Fund 1,17,9.89,9.70,9.89,13200.00,129838.00,10.04,-0.15
162,Reliance Finance Ltd.,232,515.00,490.00,496.00,42647.00,21255474.50,525.50,-29.50
163,Reliance Life Insurance Limited,160,500.00,486.00,493.00,9572.00,4698713.50,502.50,-9.50
164,Ridi Hydropower Development Company Ltd.,215,623.00,607.00,617.10,67036.00,41081963.50,630.00,-12.90
165,RMDC Laghubitta Bittiya Sanstha Ltd.,79,1480.00,1438.00,1440.00,7714.00,11194194.00,1495.00,-55.00
166,RSDC Laghubitta Bittiya Sanstha Ltd.,68,865.00,822.00,827.00,3716.00,3093754.60,853.80,-26.80
167,Ru Ru Jalbidhyut Pariyojana Limited,28,1024.10,985.10,988.90,830.00,827717.00,1045.00,-56.10
168,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,157,2100.00,1988.00,1997.00,8638.00,17513076.80,2098.00,-101.00
169,Sadhana Laghubitta Bittiya Sanstha Limited,117,1871.00,1762.00,1780.00,3818.00,6844787.60,1836.00,-56.00
170,Sagarmatha Insurance Co. Ltd.,36,1300.00,1266.10,1266.20,5221.00,6722662.10,1295.00,-28.80
171,Salt Trading Corporation,172,7935.00,7780.00,7889.00,2999.00,23541399.00,7806.00,83.00
172,Samata Gharelu Laghubitta Bittiya Sanstha Limited,42,1530.00,1412.00,1450.00,1392.00,2021251.50,1532.00,-82.00
173,Samriddhi Finance Company Limited,84,448.00,425.00,430.00,8740.00,3758943.40,448.00,-18.00
174,Samudayik Laghubitta Bittiya Sanstha Limited,5,1350.00,1325.00,1325.00,73.00,97021.90,1360.00,-35.00
175,Sana Kisan Bikas Bank Ltd,105,1795.00,1700.00,1736.90,12933.00,22250681.00,1773.90,-37.00
176,Sanima Bank Limited,1092,510.00,496.00,499.00,195487.00,98174493.60,510.00,-11.00
177,Sanima Equity Fund,31,12.74,12.32,12.74,146763.00,1818265.17,12.57,0.17
178,Sanima General Insurance Limited,91,595.50,560.00,568.00,4387.00,2504637.00,595.00,-27.00
179,Sanima Large Cap Fund,23,9.85,9.44,9.80,31175.00,300321.50,10.03,-0.23
180,Sanima Life Insurance Limited,524,550.00,530.00,537.00,8684.00,4650993.50,548.00,-11.00
181,Sanima Mai Hydropower Ltd.,270,380.00,368.00,369.00,61075.00,22726553.70,383.00,-14.00
182,SANJEN JALAVIDHYUT COMPANY LIMITED,179,355.00,336.00,344.00,15711.00,5368022.30,342.00,2.00
183,Saptakoshi Development Bank Ltd,75,361.00,341.10,345.00,12178.00,4233115.40,361.00,-16.00
184,Shangrila Development Bank Ltd.,390,389.00,375.40,380.00,70722.00,26922911.60,396.00,-16.00
185,Shikhar Insurance Co. Ltd.,208,1720.00,1670.00,1689.00,9963.00,16856708.50,1730.00,-41.00
186,Shine Resunga Development Bank Ltd.,243,454.10,441.00,447.00,31474.00,14033141.10,460.00,-13.00
187,Shiva Shree Hydropower Ltd,146,321.10,305.90,307.00,19622.00,6113768.00,325.10,-18.10
188,SHIVAM CEMENTS LTD,281,1324.00,1265.00,1272.00,18290.00,23455543.50,1324.00,-52.00
189,Shree Investment Finance Co. Ltd.,175,467.00,442.00,445.10,21679.00,9737047.50,470.00,-24.90
190,Siddhartha Bank Limited,432,459.00,443.00,444.00,87817.00,39246962.90,459.00,-15.00
191,Siddhartha Equity Fund,2,10.45,10.42,10.42,1190.00,12405.50,10.40,0.02
192,Siddhartha Insurance Ltd.,84,871.00,825.00,825.00,4779.00,4052185.00,872.00,-47.00
193,Siddhartha Investment Growth Scheme - 2,13,10.70,10.43,10.45,60800.00,638552.00,10.54,-0.09
194,Sindhu Bikash Bank Ltd,64,426.00,412.00,413.00,8677.00,3614892.00,434.00,-21.00
195,Singati Hydro Energy Limited,130,400.00,380.00,398.00,6255.00,2422794.20,407.00,-9.00
196,Soaltee Hotel Limited,105,232.70,222.00,222.80,24893.00,5617486.60,226.90,-4.10
197,Standard Chartered Bank Limited,95,534.00,530.00,531.00,9758.00,5184484.40,533.00,-2.00
198,Summit Laghubitta Bittiya Sanstha Limited,23,1431.00,1365.00,1379.90,1049.00,1444003.50,1431.00,-51.10
199,Sunrise Bank Limited,208,310.00,301.00,304.00,47461.00,14435290.80,312.00,-8.00
200,Sunrise Bluechip Fund,10,9.61,9.42,9.42,2000.00,18993.00,9.80,-0.38
201,Sunrise First Mutual Fund,9,10.75,10.60,10.75,46600.00,494823.00,10.81,-0.06
202,Support Microfinance Bittiya Sanstha Ltd.,17,2651.00,2505.10,2550.00,283.00,725792.60,2700.00,-150.00
203,Surya Life Insurance Company Limited,160,800.00,773.00,773.00,17845.00,13969146.10,810.00,-37.00
204,Swabalamban Laghubitta Bittiya Sanstha Limited,192,1650.00,1585.00,1585.00,11670.00,18669222.20,1646.90,-61.90
205,Swabhimaan Laghubitta Bittiya Sanstha Limited,40,2715.00,2600.00,2615.00,1504.00,3953022.00,2715.00,-100.00
206,Swarojgar Laghu Bitta Bikas Bank Ltd.,112,1555.00,1510.00,1520.00,5804.00,8881148.70,1555.00,-35.00
207,Synergy Power Development Ltd.,180,418.00,385.00,388.00,22086.00,8687212.20,410.00,-22.00
208,Taragaon Regency Hotel Limited,35,372.00,355.10,355.10,4205.00,1513728.00,367.90,-12.80
209,Unilever Nepal Limited,3,18999.00,18650.00,18999.00,30.00,563490.00,18914.00,85.00
210,Union Hydropower Limited,112,323.80,301.00,304.00,13351.00,4119409.00,324.00,-20.00
211,Union Life Insurance Company Limited,375,585.00,570.00,577.00,12270.00,7077621.00,585.00,-8.00
212,United IDI Mardi RB Hydropower Limited.,63,515.10,475.00,475.00,7086.00,3404773.70,505.00,-30.00
213,United Insurance Co. (Nepal) Ltd.,88,591.60,570.00,570.00,12763.00,7372934.00,602.00,-32.00
214,United Modi Hydropower Ltd.,612,431.30,390.00,390.40,111508.00,44374634.90,422.90,-32.50
215,UNIVERSAL POWER COMPANY LTD,456,341.00,310.50,318.00,67101.00,21706973.40,342.90,-24.90
216,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,8,2070.90,1975.00,2044.00,165.00,332368.50,2078.00,-34.00
217,Upper Tamakoshi Hydropower Ltd,446,600.00,578.00,581.00,48699.00,28568824.60,603.00,-22.00
218,Vijaya laghubitta Bittiya Sanstha Ltd.,37,1666.90,1548.00,1580.00,1749.00,2744250.00,1669.90,-89.90
